Timestamp,roll,pitch,heading,rollRate,pitchRate,yawRate,groundSpeed,airSpeed,airSpeedSetpoint,climbRate,altitudeRelative,altitudeAMSL,altitudeTuning,altitudeTuningSetpoint,flightDistance,flightTime,distanceToHome,missionItemIndex,headingToNextWP,headingToHome,distanceToGCS,throttlePct,hobbs,battery0.id,battery0.batteryFunction,battery0.batteryType,battery0.voltage,battery0.current,battery0.mahConsumed,battery0.temperature,battery0.percentRemaining,battery0.timeRemaining,battery0.timeRemainingStr,battery0.chargeState,battery0.instantPower,clock.currentTime,clock.currentDate,distanceSensor.rotationNone,distanceSensor.rotationYaw45,distanceSensor.rotationYaw90,distanceSensor.rotationYaw135,distanceSensor.rotationYaw180,distanceSensor.rotationYaw225,distanceSensor.rotationYaw270,distanceSensor.rotationYaw315,distanceSensor.rotationPitch90,distanceSensor.rotationPitch270,distanceSensor.minDistance,distanceSensor.maxDistance,escStatus.index,escStatus.rpm1,escStatus.rpm2,escStatus.rpm3,escStatus.rpm4,escStatus.current1,escStatus.current2,escStatus.current3,escStatus.current4,escStatus.voltage1,escStatus.voltage2,escStatus.voltage3,escStatus.voltage4,estimatorStatus.goodAttitudeEsimate,estimatorStatus.goodHorizVelEstimate,estimatorStatus.goodVertVelEstimate,estimatorStatus.goodHorizPosRelEstimate,estimatorStatus.goodHorizPosAbsEstimate,estimatorStatus.goodVertPosAbsEstimate,estimatorStatus.goodVertPosAGLEstimate,estimatorStatus.goodConstPosModeEstimate,estimatorStatus.goodPredHorizPosRelEstimate,estimatorStatus.goodPredHorizPosAbsEstimate,estimatorStatus.gpsGlitch,estimatorStatus.accelError,estimatorStatus.velRatio,estimatorStatus.horizPosRatio,estimatorStatus.vertPosRatio,estimatorStatus.magRatio,estimatorStatus.haglRatio,estimatorStatus.tasRatio,estimatorStatus.horizPosAccuracy,estimatorStatus.vertPosAccuracy,gps.lat,gps.lon,gps.mgrs,gps.hdop,gps.vdop,gps.courseOverGround,gps.lock,gps.count,gps2.lat,gps2.lon,gps2.mgrs,gps2.hdop,gps2.vdop,gps2.courseOverGround,gps2.lock,gps2.count,localPosition.x,localPosition.y,localPosition.z,localPosition.vx,localPosition.vy,localPosition.vz,localPositionSetpoint.x,localPositionSetpoint.y,localPositionSetpoint.z,localPositionSetpoint.vx,localPositionSetpoint.vy,localPositionSetpoint.vz,setpoint.roll,setpoint.pitch,setpoint.yaw,setpoint.rollRate,setpoint.pitchRate,setpoint.yawRate,temperature.temperature1,temperature.temperature2,temperature.temperature3,terrain.blocksPending,terrain.blocksLoaded,vibration.xAxis,vibration.yAxis,vibration.zAxis,vibration.clipCount1,vibration.clipCount2,vibration.clipCount3,wind.direction,wind.speed,wind.verticalSpeed
2021-06-24 14:46:51.470,0.4,-33.5,20,6.5,5.4,-0.3,3.6,0.0,0.000,-0.0,9.9,498.0,9.899,0.000,2.0,00:00:10,4.0,2,21,201,--.--,67,0000:00:00,0,1,1,0.00,-1.00,0,--.--,84,--.--,--:--:--,1,0.00,14:46:51,6/24/21,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.03,0.01,0.01,0.01,0.00,0.00,0.43,0.17,47.3977670,8.5456178,32TMT 65712 49468,0.0,0.0,21.1,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,3.7,1.4,-9.9,3.6,1.2,0.0,4.3,1.6,-9.9,5.1,1.9,-0.0,1.4,-33.3,20.8,6.4,0.5,0.3,--.--,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2021-06-24 14:46:52.482,0.1,-30.5,20,0.1,0.0,-0.1,4.1,0.0,0.000,0.0,9.9,498.0,9.867,0.000,6.1,00:00:11,8.0,2,21,201,--.--,67,0000:00:00,0,1,1,0.00,-1.00,0,--.--,84,--.--,--:--:--,1,0.00,14:46:52,6/24/21,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.03,0.01,0.01,0.01,0.00,0.00,0.43,0.17,47.3977983,8.5456349,32TMT 65713 49471,0.0,0.0,21.1,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,7.4,2.8,-9.9,3.8,1.4,-0.0,7.9,3.0,-9.9,5.0,1.9,-0.1,0.2,-31.1,20.8,0.3,-3.1,-0.1,--.--,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2021-06-24 14:46:53.496,0.1,-30.9,20,0.1,0.3,-0.1,4.2,0.0,0.000,0.1,9.8,498.0,9.828,0.000,10.2,00:00:12,12.0,2,21,201,--.--,68,0000:00:00,0,1,1,0.00,-1.00,0,--.--,81,--.--,--:--:--,1,0.00,14:46:53,6/24/21,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.05,0.01,0.01,0.01,0.00,0.00,0.42,0.16,47.3978333,8.5456546,32TMT 65715 49475,0.0,0.0,21.1,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,11.2,4.3,-9.8,3.9,1.4,-0.1,11.7,4.4,-9.9,5.0,1.9,-0.1,0.1,-31.1,20.8,0.2,-1.0,-0.0,--.--,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2021-06-24 14:46:54.484,0.2,-31.1,20,0.1,-0.1,0.1,4.2,0.0,0.000,0.2,9.8,497.9,9.793,0.000,16.3,00:00:13,16.2,2,21,201,--.--,68,0000:00:00,0,1,1,0.00,-1.00,0,--.--,81,--.--,--:--:--,1,0.00,14:46:54,6/24/21,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.05,0.01,0.01,0.01,0.00,0.00,0.42,0.16,47.3978690,8.5456744,32TMT 65716 49479,0.0,0.0,20.4,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,15.1,5.8,-9.8,4.0,1.5,-0.2,15.5,5.9,-10.0,5.0,1.9,-0.2,0.2,-31.2,20.8,0.0,-0.4,0.0,--.--,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2021-06-24 14:46:55.513,0.4,-29.5,20,1.9,16.6,-0.1,4.3,0.0,0.000,0.2,9.8,497.9,9.778,0.000,20.4,00:00:14,20.4,2,21,201,--.--,67,0000:00:00,0,1,1,0.00,-1.00,0,--.--,78,--.--,--:--:--,1,0.00,14:46:55,6/24/21,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.04,0.00,0.00,0.01,0.00,0.00,0.44,0.17,47.3979056,8.5456946,32TMT 65718 49483,0.0,0.0,20.5,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,19.1,7.2,-9.8,4.0,1.5,-0.2,19.4,7.4,-10.0,4.6,1.8,-0.2,0.7,-26.2,21.0,2.0,17.5,0.2,--.--,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2021-06-24 14:46:56.465,-0.9,-17.0,20,-2.0,10.6,-0.9,3.1,0.0,0.000,0.2,9.8,497.9,9.780,0.000,22.4,00:00:15,24.1,2,21,201,--.--,62,0000:00:00,0,1,1,0.00,-1.00,0,--.--,78,--.--,--:--:--,1,0.00,14:46:56,6/24/21,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.04,0.00,0.00,0.01,0.00,0.00,0.44,0.17,47.3979411,8.5457146,32TMT 65719 49487,0.0,0.0,21.5,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,22.5,8.6,-9.8,2.8,1.1,-0.2,22.6,8.6,-10.0,2.6,1.0,-0.2,-1.1,-14.3,20.2,-1.6,12.8,-1.2,--.--,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2021-06-24 14:46:57.466,-16.6,-13.0,6,-29.0,-2.2,-39.8,1.7,0.0,0.000,0.2,9.8,497.9,9.834,0.000,24.4,00:00:16,26.3,3,294,201,--.--,60,0000:00:00,0,1,1,0.00,-1.00,0,--.--,74,--.--,--:--:--,1,0.00,14:46:57,6/24/21,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.02,0.00,0.00,0.01,0.00,0.00,0.43,0.16,47.3979621,8.5457269,32TMT 65720 49489,0.0,0.0,21.4,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,24.6,9.3,-9.9,1.7,0.0,-0.2,24.5,8.9,-10.0,1.6,-1.4,-0.2,-16.0,-17.7,348.1,-23.3,4.0,-47.6,--.--,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2021-06-24 14:46:58.479,-11.8,-21.7,322,-5.1,1.8,-43.3,2.4,0.0,0.000,0.1,9.9,498.0,9.886,0.000,26.4,00:00:17,27.6,3,294,198,--.--,62,0000:00:00,0,1,1,0.00,-1.00,0,--.--,74,--.--,--:--:--,1,0.00,14:46:58,6/24/21,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.02,0.00,0.00,0.01,0.00,0.00,0.43,0.16,47.3979791,8.5457285,32TMT 65721 49491,0.0,0.0,330.3,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,26.3,8.3,-9.9,1.5,-1.9,-0.1,25.5,7.8,-10.0,1.2,-3.3,-0.1,-5.8,-24.1,304.9,-6.2,1.6,-45.9,--.--,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2021-06-24 14:46:59.452,-2.4,-30.6,288,-0.8,0.2,-9.4,3.5,0.0,0.000,0.1,9.9,498.0,9.908,0.000,30.5,00:00:18,28.2,3,294,192,--.--,66,0000:00:00,0,1,1,0.00,-1.00,0,--.--,71,--.--,--:--:--,1,0.00,14:46:59,6/24/21,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.03,0.00,0.00,0.01,0.00,0.00,0.43,0.15,47.3979930,8.5457042,32TMT 65719 49493,0.0,0.0,297.0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,27.6,5.8,-9.9,1.3,-3.2,-0.1,26.7,5.3,-10.0,1.0,-5.0,-0.1,-1.7,-31.1,287.6,0.4,0.2,-3.5,--.--,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2021-06-24 14:47:00.478,0.7,-28.4,286,1.7,-0.6,0.4,3.9,0.0,0.000,0.1,9.9,498.0,9.896,0.000,34.5,00:00:19,28.8,3,294,184,--.--,66,0000:00:00,0,1,1,0.00,-1.00,0,--.--,71,--.--,--:--:--,1,0.00,14:47:00,6/24/21,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.03,0.00,0.00,0.01,0.00,0.00,0.43,0.15,47.3980033,8.5456607,32TMT 65715 49494,0.0,0.0,285.4,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,28.7,2.2,-9.9,1.3,-3.7,-0.1,28.0,1.8,-10.0,1.1,-5.0,-0.1,0.4,-28.6,287.8,2.1,0.5,3.7,--.--,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
